ID,Title,Authors,Year,Publication type,Venue / Publisher,DOI,arXiv ID,OpenReview ID,Primary category,Secondary categories,Keywords,Notes,URL
reuel-open-problems-technical-ai-governance,Open Problems in Technical AI Governance,A. Reuel; B. Bucknall; S. Casper; T. Fist; L. Soder; O. Aarne; L. Hammond; L. Ibrahim; A. Chan; P. Wills; M. Anderljung; B. Garfinkel; L. Heim; A. Trask; G. Mukobi; R. Schaeffer; M. Baker; S. Hooker; I. Solaiman; A. S. Luccioni; N. Rajkumar; N. Moës; J. Ladish; D. Bau; P.-A. Bricman; N. Guha; J. Newman; Y. Bengio; T. South; A. Pentland; S. Koyejo; M. J. Kochenderfer; R. Trager,2025,Journal,Transactions on Machine Learning Research,,2407.14981,1nO4qFMiS0,Research agendas and surveys,Technical AI governance,AI governance; research agenda; monitoring; enforcement; compliance,Published in TMLR in 2025; A. Reuel and B. Bucknall are listed as equal first authors.,https://openreview.net/forum?id=1nO4qFMiS0
baker-verifying-international-agreements-ai,Verifying International Agreements on AI: Six Layers of Verification for Rules on Large-Scale AI Development and Deployment,M. Baker; G. Kulp; O. Marks; M. Brundage; L. Heim,2025,Working paper,RAND Corporation,10.7249/WRA4077-1,2507.15916,,Research agendas and surveys,International verification,international agreements; verification; compute governance; monitoring; compliance,RAND working paper WR-A4077-1; presents six layers of verification.,https://www.rand.org/pubs/working_papers/WRA4077-1.html
brundage-frontier-ai-auditing,Frontier AI Auditing: Toward Rigorous Third-Party Assessment of Safety and Security Practices at Leading AI Companies,M. Brundage; N. Dreksler; A. Homewood; S. McGregor; P. Paskov; C. Stosz; G. Sastry; A. F. Cooper; G. Balston; S. Adler; S. Casper; M. Anderljung; G. Werner; S. Mindermann; V. Mavroudis; B. Bucknall; C. Stix; J. Freund; L. Pacchiardi; J. Hernandez-Orallo; M. Pistillo; M. Chen; C. Painter; D. W. Ball; C. O'Keefe; G. Weil; B. Harack; G. Finley; R. Hassan; S. Emmons; C. Foster; A. Reuel; B. Treece; Y. Bengio; D. Reti; R. Bommasani; C. Trout; A. S. Shamsabadi; R. Dattani; A. Weller; R. Trager; J. Sevilla; L. Wagner; L. Soder; K. Ramakrishnan; H. Papadatos; M. Murray; R. Tovcimak,2026,Preprint,arXiv,10.48550/arXiv.2601.11699,2601.11699,,Research agendas and surveys,Auditing,frontier AI; auditing; assurance; safety; security; third-party assessment,Defines frontier AI auditing and proposes four AI Assurance Levels.,https://arxiv.org/abs/2601.11699
harack-verification-international-ai-governance,Verification for International AI Governance,B. Harack; R. F. Trager; A. Reuel; D. Manheim; M. Brundage; O. Aarne; A. Scher; Y. Pan; J. Xiao; K. Loke; S. N. Adan; G. Bas; N. A. Caputo; J. C. Morse; J. Ahuja; I. Duan; J. Egan; B. Bucknall; B. Rosen; R. Araujo; V. Boulanin; R. Lall; F. Barez; S. Alvira; C. Katzke; A. Atamli; A. Awad,2025,Report,Oxford Martin AI Governance Initiative,,,,Research agendas and surveys,International verification,international agreements; verification; data centers; privacy; inspections; governance,Technical report published in July 2025 on approaches to verifying international AI agreements.,https://www.oxfordmartin.ox.ac.uk/publications/verification-for-international-ai-governance
scher-mechanisms-verify-ai-agreements,Mechanisms to Verify International Agreements About AI Development,A. Scher; L. Thiergart,2025,Preprint,arXiv,10.48550/arXiv.2506.15867,2506.15867,,Research agendas and surveys,International verification,international agreements; verification; inspections; compliance; AI development,Overview of verification approaches for three example policy goals.,https://arxiv.org/abs/2506.15867
ogara-hardware-enabled-verifying-responsible-ai,Hardware-Enabled Mechanisms for Verifying Responsible AI Development,A. O'Gara; G. Kulp; W. Hodgkins; J. Petrie; V. Immler; A. Aysu; K. Basu; S. Bhasin; S. Picek; A. Srivastava,2025,Preprint,arXiv,10.48550/arXiv.2505.03742,2505.03742,,Research agendas and surveys,Hardware verification,hardware-enabled mechanisms; attestation; compute monitoring; policy enforcement; AI training,Identifies open questions for hardware-enabled verification of responsible AI development.,https://arxiv.org/abs/2505.03742
ansari-hardware-level-governance-ai-compute,Hardware-Level Governance of AI Compute: A Feasibility Taxonomy for Regulatory Compliance and Treaty Verification,S. Ansari,2026,Preprint,arXiv,10.48550/arXiv.2604.04712,2604.04712,,Research agendas and surveys,Hardware governance,hardware governance; feasibility taxonomy; compliance; treaty verification; threat models,Proposes and evaluates a taxonomy of 20 hardware-level governance mechanisms.,https://arxiv.org/abs/2604.04712
ai-security-forum-rfds,AI Security RFDs,AI Security Forum,,Project / discussion document,AI Security Forum,,,,Research agendas and surveys,Research directions,AI infrastructure; verification; security; research agenda; hardware; attestation,Living index of requests for discussion on AI security and verification; no publication year is stated on the index page.,https://projects.aisecurity.forum/
schnabl-attestable-audits,Attestable Audits: Verifiable AI Safety Benchmarks Using Trusted Execution Environments,C. Schnabl; D. Hugenroth; B. Marino; A. R. Beresford,2025,Preprint,arXiv,10.48550/arXiv.2506.23706,2506.23706,,Trusted execution and attestation,Verifiable audits,trusted execution environments; remote attestation; AI safety benchmarks; confidential computing; auditing,Proposes a TEE-based protocol that lets auditors and model providers run verifiable safety benchmarks without revealing proprietary models or benchmark data.,https://arxiv.org/abs/2506.23706
dhar-guardain,GuardAIn: Protecting Emerging Generative AI Workloads on Heterogeneous NPU,A. Dhar; C. Thorens; L. M. Lazier; L. Cavigelli,2025,Conference,2025 IEEE Symposium on Security and Privacy,10.1109/SP61157.2025.00221,,,Trusted execution and attestation,Confidential AI accelerators,confidential computing; NPU; task attestation; heterogeneous accelerators; model integrity; trusted computing base,Presents a confidential-computing architecture for discrete NPUs that removes the host system from the trusted computing base and supports task attestation.,https://www.computer.org/csdl/proceedings-article/sp/2025/223600d823/26hiVLrJZi8
ding-cove,Cove: Compositional Multi-Party Confidential Workflows for Verifiable AI Governance,S. Ding; E. Lee; R. Cheng; D. Kang,2026,Workshop,ICML 2026 Workshop on Technical AI Governance Research,,,t1dz06Vcee,Trusted execution and attestation,Confidential multi-party workflows,trusted execution environments; confidential computing; multi-party workflows; AI governance; private audits; composability,Introduces a system for composing confidential workflows among mutually distrusting parties while preserving verifiability of the workflow and its outputs.,https://openreview.net/forum?id=t1dz06Vcee
chantasantitam-palm,PAL*M: Property Attestation for Large Generative Models,P. Chantasantitam; A. I. Caulfield; V. Duddu; L. J. Gunn; N. Asokan,2026,Preprint,arXiv,10.48550/arXiv.2601.16199,2601.16199,,Trusted execution and attestation,Model and dataset property attestation,property attestation; large language models; confidential virtual machines; GPU attestation; dataset integrity; training; inference,"Provides a property-attestation framework for large generative models using confidential VMs, security-aware GPUs, and incremental multiset hashing.",https://arxiv.org/abs/2601.16199
tinfoil-proving-model-identity,How Tinfoil Proves Exactly What Model Is Running,Tinfoil Team,2026,Technical article,Tinfoil,,,,Trusted execution and attestation,Model identity,model identity; remote attestation; dm-verity; Merkle trees; confidential inference; model weights,Explains how Tinfoil binds enclave attestations to model weights loaded after boot by committing to a dm-verity root hash in the measured kernel command line.,https://tinfoil.sh/blog/2026-02-03-proving-model-identity
zhao-tees-privacy-preserving-monitoring,On TEEs for Privacy-Preserving Monitoring in AI Governance,G. Zhao,2026,Technical article,Technology Governance and Intelligence,,,,Trusted execution and attestation,Governance applications and limitations,trusted execution environments; privacy-preserving monitoring; AI governance; deployment integrity; hardware auditability; completeness,"Surveys the potential and limitations of TEE-based monitoring for AI governance, including deployment integrity, completeness, software auditability, and hardware roots of trust.",https://techgov.intelligence.org/blog/on-tees-for-privacy-preserving-monitoring-in-ai-governance
rinberg-verifying-llm-inference-weight-exfiltration,Verifying LLM Inference to Detect Model Weight Exfiltration,R. Rinberg; A. Karvonen; A. Hoover; D. Reuter; K. Warr,2025,Preprint,arXiv,10.48550/arXiv.2511.02620,2511.02620,,Inference verification,Partial re-execution and sampling,LLM inference; model weight exfiltration; steganography; partial re-execution; nondeterminism; output verification,Formalizes model-weight exfiltration as a security game and evaluates inference-verification methods for constraining covert information in model outputs.,https://arxiv.org/abs/2511.02620
karvonen-difr,DiFR: Inference Verification Despite Nondeterminism,A. Karvonen; D. Reuter; R. Rinberg; L. Marks; A. Garriga-Alonso; K. Warr,2025,Preprint,arXiv,10.48550/arXiv.2511.20621,2511.20621,,Inference verification,Partial re-execution and sampling,LLM inference; nondeterminism; Token-DiFR; Activation-DiFR; reference implementation; activation fingerprints,Introduces token- and activation-based divergence measures for detecting incorrect or modified LLM inference despite benign numerical variation.,https://arxiv.org/abs/2511.20621
amodo-example-schemes-high-stakes-ai-agreements,Example Schemes for Verifying High-Stakes AI Agreements,Amodo Design,2026,Technical article,Amodo Design,,,,Inference verification,Recomputation schemes,recomputation; inference verification; TOPLOC; Token-DiFR; proof of learning; training verification; high-stakes agreements,Outlines prototype recomputation-based schemes for verifying inference and pre-training workloads in cooperative prover–verifier settings.,https://amododesign.com/notes/2026-06-23-verification-algorithms/
cankaya-system-overview-low-trust-compute-verification,"A System Overview for Near-Term, Low-Trust AI Compute Verification",N. Cankaya,2026,Working paper,Machine Intelligence Research Institute,,,,Inference verification,System architecture,low-trust verification; network taps; evidence capture; recomputation; privacy-preserving monitoring; air-gapped evaluation; AI governance,Proposes a retrofittable reference architecture separating evidence capture from later evaluation of randomly challenged workload records.,https://intelligence.org/wp-content/uploads/2026/06/A-system-overview-for-near-term-low-trust-AI-compute-verification.pdf
petrie-bounding-unexplained-information-exfiltration,Verifying AI Compute by Bounding Unexplained Information Exfiltration,J. Petrie; Y. Mühlhäuser,2026,Workshop poster,ICML 2026 Workshop on Technical AI Governance Research,,,qtgG5HZSsk,Inference verification,Information-flow accounting,AI compute verification; compute governance; hardware-independent protocols; zero-knowledge proofs; cryptographic protocols; confidential inference; challenge-based recomputation; prover isolation,"Proposes hardware-independent verification using prover isolation, cryptographic commitments, and challenge-based recomputation to bound unexplained information in network outputs.",https://openreview.net/forum?id=qtgG5HZSsk
cankaya-bit-exact-inference-verification,Bit-Exact AI Inference Verification Without Performance Tradeoffs,N. Cankaya,2026,Preprint,arXiv,10.48550/arXiv.2606.00279,2606.00279,,Inference verification,Deterministic and reproducible inference,bit-exact inference; GPU determinism; floating-point arithmetic; cross-hardware emulation; recomputation; covert adversaries,Shows that modern LLM inference can be recomputed bit-for-bit without performance-reducing determinism flags when relevant execution details are available.,https://arxiv.org/abs/2606.00279
chen-zkml,ZKML: An Optimizing System for ML Inference in Zero-Knowledge Proofs,B.-J. Chen; S. Waiwitlikhit; I. Stoica; D. Kang,2024,Conference,19th European Conference on Computer Systems (EuroSys 2024),10.1145/3627703.3650088,,,Zero-knowledge proofs,Inference proofs,zero-knowledge proofs; zkSNARKs; machine learning inference; compiler optimization; model privacy; verifiable audits,Presents an optimizing system for generating zero-knowledge proofs for realistic machine-learning inference and end-to-end audits.,https://doi.org/10.1145/3627703.3650088
waiwitlikhit-trustless-audits,Trustless Audits without Revealing Data or Models,S. Waiwitlikhit; I. Stoica; Y. Sun; T. Hashimoto; D. Kang,2024,Conference,41st International Conference on Machine Learning (ICML 2024),,2404.04500,bgyWXX8HCk,Zero-knowledge proofs,Model and dataset audits,zero-knowledge proofs; trustless audits; dataset commitments; model commitments; SGD; copyright auditing; model privacy,"Introduces ZkAudit, enabling private model and dataset properties to be audited using commitments and zero-knowledge proofs.",https://proceedings.mlr.press/v235/waiwitlikhit24a.html
sun-zkllm,zkLLM: Zero Knowledge Proofs for Large Language Models,H. Sun; J. Li; H. Zhang,2024,Conference,2024 ACM SIGSAC Conference on Computer and Communications Security (CCS 2024),10.1145/3658644.3670334,2404.16109,,Zero-knowledge proofs,Large-language-model inference,zero-knowledge proofs; large language models; zkLLM; inference verification; tlookup; attention; model privacy,"Develops specialized zero-knowledge protocols for large-language-model inference, including non-arithmetic operations and attention.",https://doi.org/10.1145/3658644.3670334
south-verifiable-evaluations-zksnarks,Verifiable evaluations of machine learning models using zkSNARKs,T. South; A. Camuto; S. Jain; S. Nguyen; R. Mahari; C. Paquin; J. Morton; A. Pentland,2024,Preprint,arXiv,10.48550/arXiv.2402.02675,2402.02675,,Zero-knowledge proofs,Verifiable model evaluations,zkSNARKs; model evaluation; evaluation attestations; private model weights; benchmarks; fairness; ONNX,Demonstrates verifiable evaluation attestations for private models by proving inference and aggregate evaluation results with zkSNARKs.,https://arxiv.org/abs/2402.02675
peigne-zero-knowledge-frontier-training,Zero knowledge verification for frontier AI training is possible,P. Peigné; K. Nguyen; P. Wang,2026,Preprint,arXiv,10.48550/arXiv.2606.05433,2606.05433,,Zero-knowledge proofs,Frontier model training,zero-knowledge proofs; frontier AI training; zkVM; Merkle commitments; BF16; FP32; compute governance; training verification,"Proposes an architecture for zero-knowledge verification of frontier dense pre-training using committed specifications, network observations, and intermediate-computation commitments.",https://arxiv.org/abs/2606.05433
reuter-proofs-compartmentalization,Verifiable constraints on frontier training via proofs of compartmentalization,D. Reuter et al.,2026,Workshop,ICML 2026 Workshop on Technical AI Governance Research,,,ajrtHuFw2S,Zero-knowledge proofs,Training constraints and compartmentalization,frontier training; proofs of compartmentalization; zero-knowledge proofs; training constraints; compute governance; cryptographic verification,Explores cryptographic proofs of compartmentalization as a means of enforcing verifiable constraints on frontier-model training.,https://openreview.net/forum?id=ajrtHuFw2S
fang-proof-of-learning-broken,Proof-of-Learning is Currently More Broken Than You Think,C. Fang; H. Jia; A. Thudi; M. Yaghini; C. A. Choquette-Choo; N. Dullerud; V. Chandrasekaran; N. Papernot,2023,Conference,8th IEEE European Symposium on Security and Privacy (EuroS&P 2023),,2208.03567,,Proof of learning and training,Attacks and limitations,proof of learning; spoofing attacks; checkpoint verification; adversarial robustness; deep learning optimization; training verification,"Demonstrates reproducible, low-cost attacks on proof-of-learning schemes and argues that robust verification depends on unresolved questions about deep-learning optimization.",https://arxiv.org/abs/2208.03567
jia-proof-of-learning-definitions-practice,Proof-of-Learning: Definitions and Practice,H. Jia; M. Yaghini; C. A. Choquette-Choo; N. Dullerud; A. Thudi; V. Chandrasekaran; N. Papernot,2021,Conference,42nd IEEE Symposium on Security and Privacy,,2103.05633,,Proof of learning and training,Training-compute proofs,proof of learning; stochastic gradient descent; training checkpoints; model ownership; distributed training; verified computation,"Introduces proof of learning as a way to demonstrate that a party performed the optimization required to obtain a model, using logged training artifacts and checkpoint verification.",https://ieeexplore.ieee.org/document/9519402/
shavit-catch-a-chinchilla,What does it take to catch a Chinchilla? Verifying Rules on Large-Scale Neural Network Training via Compute Monitoring,Y. Shavit,2023,Preprint,arXiv,10.48550/arXiv.2303.11341,2303.11341,,Proof of learning and training,Compute monitoring,large-scale training; compute monitoring; proof of learning; chip supply chain; model-weight snapshots; international agreements; privacy,"Proposes a compute-monitoring architecture combining on-chip weight snapshots, training records, and chip-supply-chain monitoring to verify rules on large-scale neural-network training.",https://arxiv.org/abs/2303.11341
choi-tools-verifying-training-data,Tools for Verifying Neural Models' Training Data,D. Choi; Y. Shavit; D. K. Duvenaud,2023,Conference,Advances in Neural Information Processing Systems 36 (NeurIPS 2023),,2307.00682,TwLHB8sKme,Proof of learning and training,Proof of training data,proof of training data; data provenance; random-seed commitments; training-data verification; temporary overfitting; model governance,"Introduces proof-of-training-data protocols, including verifiable random-seed commitments and tests based on temporary overfitting to determine whether data were used in training.",https://proceedings.neurips.cc/paper_files/paper/2023/hash/03e33e1f62e3302b47fe1d38a235921e-Abstract-Conference.html
baker-off-chip-compute-verification,Off-Chip Compute Verification,M. Baker,2026,Working document,,,,,Network and memory telemetry,Off-chip monitoring architecture,off-chip verification; network telemetry; memory telemetry; compute monitoring; AI datacenters; privacy-preserving verification,Working document on verification mechanisms implemented outside AI accelerators; bibliographic metadata is limited on the linked document.,https://docs.google.com/document/d/10317woljRRoX9Gtcwir1u36ytbA680xfYrazMcuLisA/edit?tab=t.0
cankaya-secure-network-taps,The Fundamentals and Feasibility of Secure Network Taps for Verifying AI Datacenter Use,N. Cankaya; A. Friedman; M. Baker,2026,Technical article,The Datacenter Lie Detector,,,,Network and memory telemetry,Secure network taps,network taps; AI datacenters; traffic capture; completeness; retrofitting; privacy-preserving monitoring; verification protocol,Assesses where and how network taps could be deployed to support retrofittable verification of AI-datacenter use.,https://nacicankaya.substack.com/p/research-note-the-fundamentals-and
bursuc-software-based-memory-erasure,Software-Based Memory Erasure with relaxed isolation requirements: Extended Version,S. Bursuc; R. Gil-Pons; S. Mauw; R. Trujillo-Rasua,2024,Preprint,arXiv,10.48550/arXiv.2401.06626,2401.06626,,Network and memory telemetry,Proof of secure erasure,proof of secure erasure; memory erasure; relaxed isolation; challenge-response protocols; external conspirators; communication latency,"Develops software-based proof-of-secure-erasure protocols that remain secure when a prover can communicate with external helpers, provided that communication is sufficiently slow.",https://arxiv.org/abs/2401.06626
monfared-timing-memory-telemetry-gpus,Timing and Memory Telemetry on GPUs for AI Governance,S. K. Monfared; F. Ganji; D. E. Holcomb; S. Tajik,2026,Preprint,arXiv,10.48550/arXiv.2602.09369,2602.09369,,Network and memory telemetry,GPU utilization telemetry,GPU telemetry; timing measurements; memory residency; proof of work; verifiable delay functions; GEMM; VRAM; compute governance,Evaluates timing- and memory-based measurement primitives for detecting GPU utilization without relying on trusted firmware or vendor counters.,https://arxiv.org/abs/2602.09369
